id,title,summary
0,Reopening an airport terminal is harder than you might think,"The South Terminal at London's Gatwick Airport will reopen to the public after nearly two years closed. The first flight from the South Terminal is scheduled to leave on Sunday morning. The South Terminal has been open for 60-odd years, but has been closed for the best part of two years. The airport is reopening 85% of it straight away, with the rest moving over from the North Terminal over three days. It is a huge task that we're undertaking, but we're feeling really confident, actually. The scale of what we're doing here is... we've often likened it toopening a smaller airport,completely from scratch. We've got a phased plan for our airlines moving back over from North Terminal, but all the infrastructure will comeonline more or less from day one. It will be about 3am when the first passengers go through the doors. And they probably won't know that the terminal was closed. They'll just want to get to their destination, even if they don't even know their destination. It's the biggest one I've done at Gatwick airport. I've never done anything like it before. I think it's fair to say, we all thought it'd be over in two weeks' time. But it's much more difficult than you might think."
1,14 science fiction stories in under 6 minutes,"I used to make short science fictionvideos for this channel, years ago. But these days, they don't really sit right with what I do. I'm locked into being 100% factual. And the truth is: I'm not great at writing fiction. But I do still have some ideas that                I want to get out of my head. So I'm just going to roll these ideas off, one or two sentences each, and maybe add in a few images from ""stories that might have been"" The first batch are all about brain-computer connections, which is kinda like shooting fish in a barrel, really. But there are more subtle stories possible as well, like: a brain-chip update that removes features, or hides them behind a subscription paywall, or a world in which only rich people can afford superintelligence. And then there's the idea of ""influencer"" becoming a more literal word, as kids link their brainimplants to their idols in order to experience their emotions in real time. But if you want to make a full commercial film or a show out of any of these, first of all, that's ridiculous, and also you will need to option it. I am not leaving that sort of money lying on the table."
2,"After 140 years, this old technology still keeps trains safe","140 years ago, the Callander and Oban railway set up a rockfall detection system. The system is still in operation today, 140 years later. Scotland's railway is about 3,500 track-miles. The West Highland lines travel hundreds of miles along natural mountainsides. A microwave can cause a train a problem, something as big as a washing machine could lead to derailment, says the Scottish Railways Authority. The agency is spending £40 million a year on things that prevent landslides or improve the resilience of its infrastructure to extreme weather. The Scottish rail network is one of the biggest in the world, with more than 1.5 million passengers a day on Scotland's rail network. It is the busiest rail network in the UK, making it the second-busiest in Europe after the UK’s motorway network. The rail network has the highest level of safety in Europe, with no accidents reported in the last 12 months, according to the Scottish Railway Authority (SRA) The SRA says it will spend the next few years looking at ways of preventing landslides and other hazards on Scotland’S rail network, such as rockfall and boulder fall, in the event of a major earthquake or tsunami. It says the best way to keep trains safe is to stop them at the source of the hazard."
3,"The Elie Chainwalk is safe, as long as you follow the signs","The Elie Chainwalk is 500 metres long, made up of eight chains anchored into the cliff face. It was set up in the 1920s to help local fishermen get down the cliffs to their boats. It's open to the public, completely open access all year round. A local guide explains how the chains work and how to stay safe on the walk. The Chain Walk doesn't really lead anywhere important, just to a couple of beaches in the south-east of Scotland that are pretty much like every other beach around here. But it is dangerous enough that the safety signs are justified, so plan ahead and know what the weather's going to be like before you head out. The walk is not for the faint of heart, and there have been reports of people falling, perhaps because they've ignored safety signs or strayed off the path, or been trapped by the tide. The local lifeboat has had to call out the local lifeboats to rescue people who have fallen on the Chain Walk, but it's not a dangerous place to go alone, the guide says, just be aware of the tides and be prepared to walk with a guide. The chain walk was repaired about ten years ago after someone stole the chains, and every six months engineers come out to check they're still safe and intact."
4,This town forgot to be a city,"Rochester had been a city since the 13th century, when its cathedral was consecrated. By the 1970s, urban expansion had merged the string of towns along this bit of the Medway river. In 1998, when districts were merged again, Rochester was no longer on the list of cities. A few years later, the local government petitioned to extend that city status to the whole borough, calling it Rochester-upon-Medway. But the Queen issued some special paperwork called Letters Patent that said, okay, fine, Rochester, the part of Rochester for 800 years, can still be a city. But a few years ago, one party's administrative error put it down to an administrative error, and no-one seemed to notice at all...until a local historical society spotted that Rochester wasn't on the lists any more. It was back then that it was put back on the government's list. But now it's not tied to the old city boundaries any more, it's tied to a local government district instead. It's a bit of a shame that someone forgot to file some paperwork, because Rochester is now just a regular town, not a city, and it's a real shame that the Queen didn't know about it until it was too late."
5,The top secret plan to explode a nuclear bomb in Yorkshire,"A report was written in 1969 looking at possible nuclear sites in North Yorkshire. The idea was to create artificial harbours and canals using nuclear bombs. The US and the Soviets eventually worked out that it was a bad idea. The report was declassified in the 1990s and has never been seen by the public. But it has been found in the British National Archives and is available to download for free on the BBC iPlayer. For confidential support call the Samaritans on 08457 90 90 90 or visit a local Samaritans branch, see www.samaritans.org for details. In the U.S. call the National Suicide Prevention Line on 1-800-273-8255 or click here for details on how to get in contact with the National suicide Prevention Lifeline (NSPL) in the US. For details on the NSPL in the UK, visit the British Suicide Prevention Lifelink (http://www.suicidepreventionlifeline.org.uk/). For confidential. support in the Netherlands, call the Salvation Army on 0800 0300 90 90, or visit http:// www.suicidesprevention.org/. In the United States, contact the National Security Agency (NSA) on 1 (800) 615-7255 or visit the National Crime Agency (NCA)"
6,The giant chainmail box that stops a house dissolving,"Charles Rennie Mackintosh's Hill House in Helensburgh, south-west Scotland, was built in 1902. The National Trust for Scotland is trying to save the house, which is slowly cracking and dissolving. The walls of the house are made of 32.4 million individual chain mail links, which surround the house in the world's largest sheet of chain mail. The house is protected from the elements by a box made of stainless steel and eight tonnes of steel, which can be melted down into something else. It takes nine months to build and costs £4,500,000 to repair and restore the house to its former glory. It has been described as ""dissolving like anipientaspirin in a glass of water"" and is a 'pilgrim's home' for visitors from all over the world who want to see it in its natural state. It is currently open to the public for the first time in more than a decade, and the National Trust is hoping to open it to the general public again in the future. It will take 15 years to dry out and repair the house and then it will be put back to use as a tourist attraction for the rest of the year, the Trust says. It was designed by Mackintosh, one of Scotland's most famous architects and designers, and is one of the most famous houses in Scotland."
7,Literally just three minutes where I talk about some rocks,"In 1788 James Hutton, who's now known as the father of modern geology, visited Siccar Point, about an houreast of Edinburgh in Scotland. He was looking for places that would help his theory that the earth was far, far older than people thought at the time. Hutton found two types of rock right next to each other that could only have been made over what we now call ""geological time"" The discovery is called an ""unconformity"" and is one of the most important geological sites in the world, says CNN's John Defterios. ""I'm not a geologist. But today I'm on the road, and my route has taken me past something that I've wanted to put my own two feet on for a long time,"" he says. ""And that's why I wanted to stop by here, and show this to more people. Because my big question is: Is there anything like this left?"" ""I think it's probable that we've got all the low hanging fruit,"" says Defterio. ""But wouldn't it be wonderful if for once, somewhere in the. world, somewhere else, we got a new discovery like this?"" ""It's unlikely there's anything like that left,"" he adds, ""but that is still sitting undiscovered"""
8,How one British laboratory protects the world's chocolate,"About 30 to 40% of the entire world's cocoa crop is lost to pests and diseases every year. Botanists send plant cuttings around the world so they can crossbreed them and see what the results are. The quarantine process lasts for two years because viruses can potentially stay latent in the plant for a long period of time. If there does end up being a worldwide cocoa shortage, it doesn't mean that the price of chocolate will rise and rise, but manufacturers would have to make sure that chocolate does not go back to being a luxury. The cocoa beans that get turned into chocolate are a really difficult crop to grow, and need specific climate conditions to grow well. The modern world needs new, harder, more pest-resistant varieties of cocoa with higher yields, says Dr. Richard Boulden, head of the International Cocoa Quarantine Center in southern England. The center is located in a country that does not grow cocoa, so there's no risk of pests or diseases from cocoa entering the country. It's also a quarantine center for bananas, potatoes, and other crops that need to be quarantined for a longer period of two years before they can be grown again, he says. The centre is based in a rural bit of southern England, but there are other quarantines in Scotland and the US."
9,"There's a £100,000 coin buried under this London building","British coins have the year that they were manufactured right on them. In 1933, the Royal Mint decided they wouldn't make any one-pence coins that year. So there are probably seven 1933 pennies. Three are in private collections. Two are in museums. One is buried under a church in Middleton, West Yorkshire. The last one is buried somewhere under the foundations of Senate House, London. It's worth around £140,000, but the price at auction these days is easily more than £100,000. I don't have any plans to make a film about it. But it is a movie waiting to happen. And while it's not exactly in the vault of a Las Vegas casino, it's a good idea to keep an eye out for it if you want to get your hands on one of these coins in the near future. I'm not saying this is definitely a plot for a British Ocean's-11 style caper, but if there are any screenwriters out there watching this, I feel like this one might be for you. I'll be back in a few minutes with the rest of the team at 9pm tonight on Channel 4's Newsnight. Back to Mail Online home. back to the page you came from. Click here for more news."
