id,title,summary
0,Keeping the world's longest railroad tunnel safe,"The Gotthard Base Tunnel is the longest and deepest rail tunnel in the world, 57 kilometers through the Alps. Around the turn of the century, there were two devastating fires in road tunnels under those mountains, and the authorities here in Switzerland want to make sure that nothing like that can ever happen again. We're going to see the control center that watches over the tunnel, and also visit one of the intervention centers, with the firefighters and first responders that'll step in if the worst were to happen. And then I want to show you what I reckon is the most important bit of safety equipment, and most people will probably never notice it. It isn't anywhere near the tunnel. But before that, we start at the control centers, just over there. There are different sections to control the traffic. The signal box controls the track. The movement authority is given by the signal box, and by the traffic controller. If there is a disturbance in one of these thirds, the train can be diverted to bypass the disturbed section. We have to be able to evacuate the entire tunnel within 90 minutes. If a train has a technical problem, first of all the train driver tries to reboot the train system. If it's not successful, we have the firefighting train, which goes into the tunnel to tow out the broken train."
1,Why do YouTubers clap at the start of videos?,"To make it easy to sychronise the audio and video later. But that's not really an answer to the question, is it? If the question was ""why do YouTubers clap at the start of their recordings"", then yes, that's the answer, it's to help with synchronisation. When I'm filming on my own with a static camera, it can sometimes look like I'm just stood against a green-screen. But clapping, walking into frame, letting the focus settle, showing that behind-the-scenes moment... it proves I'm here, it makes me seem more trustworthy. For someone vlogging from their bedroom, keeping those claps and the slip-ups helps make them relatable. I don't really want to be relatable? But Trustworthy is good, and leaving the clap and video in the video establishes that I'm one person with one person. Showing that clap is all about fitting the message to the medium, not just what you want to say, but the subtext of how you say it. It's all about the aesthetics, not about the camera setup, but how you handle it. I've done that plenty of times before. I'll leave that in when I actually do have a crew."
2,This massive truck makes artificial earthquakes,"The University of Texas has a machine designed to shake the ground itself. It can go up to about 60,000 pounds force vertically, and about half horizontally. We have sensors that we've designed and we will push in because there are pushing rams on the back of Liquidator and T-Rex. We were out there in Wyoming and the darn cows walked by. Fortunately, they didn't break any cables, but we had to stop testing because they made more noise. They were right out there and we were half a mile away. Oh, my goodness. Every time we go someplace, we'll make sure the level won't damage structures. We just came back from Wyoming, where they're going to build new power plants, and the earthquake design is critical. We generated a 6000-foot-long wave. Now we generated a two foot long wave, too, but going through the range. So that means we could evaluate the stiffness profile down to half amile. With no boreholes! That is really a true accomplishment and a very, very cost effective addition to the design of the plant. So this is a sensor. It's a big magnet with a coil. The coil is going through a magnetic field. And that's what's going on here."
3,How the US Postal Service reads terrible handwriting,"Almost all the letters that get sent in the United States are processed automatically. The postal service sends the picture of the envelope here to the Remote Encoding Center, the REC, in Salt Lake City, Utah. It's the job of the folks here to turn scrawl and blurred ink into actual addresses. If the machine can't read your handwriting, one of the keyers here will type in the missing information, and the information goes right back to the plant, which is a whole lot cheaper than having somebody physically sort that piece by hand. If it matches a couple of good addresses, then you'll get a list and you'll choose out of that list. If there's not a good address, you've got to clear it out with a space, and those flats and packages are sitting on a conveyor belt. Those pieces are live, and if we don't key them in 90 seconds, they get buffered and get back in the machine. That will be a lot of fun. We're in the last RemoteEncoding Center in the U.S. Back in 1997, when we had 55 RECs open, all of those RECs combined keyed 19 billion images. The OCR technology is so good that, in 2021, as the last REC remaining, we only keyed 1.2 billion images, and we have about 810 employees here."
4,"This clock was famous, but the internet ruined it.","The Dutch flower market is one of the largest commercial buildings in the world. Every weekday, millions of fresh flowers are being bought and sold inside. The auction room used to be full of buyers, frantically pushing buttons to bid. But the internet enabled remote buying, so the seating got emptier over the years. By the mid-2010s, those auction rooms weren’t being pushed through the auction rooms, and by the end of the decade, the rooms were closed down. It's basically a reenactment of what gets kept alive as a tourist attraction, or preserved by a group of volunteers. It turns over billions of euros every year, if they keep running. The replacement is many auctioneers running many different clocks, all at the same time, sitting in cubicles with microphones. The Dutch Flower Auction Clock is no more, but the flower market that it was once part of is still there, and it runs on an almost incomprehensible scale. It’s a giant, high-speed, hyper-optimised clearing-house: growers deliver flowers in the early morning and by lunchtime they’re sold and on their way to buyers, either via the warehouses next door or in trucks that ship them onwards. The famous part is how the flowers are sold there. If you’ve heard of a Dutch auction? This is oneof those auctions, I think the biggest one anywhere."
5,The massive Fatigue Carousel helps keep roads safe,"The fatigue carousel is one of only a few of its kind in the world. It can simulate, in a few months, 10 or 20 years of traffic on the real road. Testing on this carousel doesn't mean just for a few hours or a few days. A test here can last months, the carousel constantly rotating, with the wheels travelling at anything up to 100km/h. There are actually three different circular test tracks here. The carousel can be taken apart and moved between them, to run several different tests at once. One of the tracks is also watertight, for testing how pavements behave on wet or soaked ground. And I really hope that the size and scale of this thing is coming across on camera, because I've had to change my microphone to the windproof one, because of how much turbulent air this thing generates. Those arms are massive. It is genuinely unnerving to be standing here, not able to see this massive machine behind me. They are just twice as big as I am. And then there is the ageing of the materials. They become more brittle. And obviously we cannot simulate that, because we have to do the test in several months. You can't build those models without real-world data. And when you're grounded in truth, you're not going to be able to test them."
6,How does Britain know what time it is?,"National Physical Laboratory, NPL, broadcasts a time signal to the UK in a simple enough format that the cheap electronics inside this clock can understand it. We steer from NPL based on measuring what Anthorn is broadcasting at the level of nanoseconds. There's a light-speed delay, a latency, of about a thousandth of a second between the transmitter here and the base in London. It's a very low frequency, 60 kilohertz, it has very low susceptibility to atmospheric effects. Things like the Square Kilometre Array, a planet-wide array of telescopes that's being planned and built now have to be synchronised with radio waves around the globe. When they're listening for incredibly faint radio waves from space, the whole experiment could fall apart. So when the public can get time that's more than accurate for almost every purpose from satellites in space: why is this signal still important? And the team at NPL had a rather serious answer. Time is really an invisible utility. It underpins our digital infrastructure, whether it's the grid, or the telecom networks, or finance or high-frequency trading. We are so dependent on GPS and other constellations, and if those signals are disrupted easily, we are easily easily disrupted."
7,Reopening an airport terminal is harder than you might think,"South Terminal at London's Gatwick Airport will reopen to the public on Sunday. It has been closed for nearly two years due to a downturn in traffic. The first flight from the South Terminal is scheduled to leave on Sunday in the early hours of the morning. The scale of what we're doing here is... we've often likened it to opening a smaller airport, completely from scratch. It is a huge task that we're undertaking. I'm feeling really confident, actually. I think we're in a really good place to do it. And they probably won't know or care that the terminal's only just opened again. They'll just want to get to their destination. If everything goes to plan, they likely won't even know that theTerminal was ever closed. We're reopening 85% of it straight away. We've got a phased plan for our airlines moving back over from North Terminal over three days, but all the infrastructure will come online more or less from day one. In terms of a challenge? Yeah, it's the biggest one I've done at Gatwick airport. It's been open for 60-odd years, that's now being closed for the best part of two years. You know, buildings don't react too well to that sort of thing."
8,The top secret plan to explode a nuclear bomb in Yorkshire,"Report was written in June 1969, a month before Neil Armstrong set foot on the moon. It was about Peaceful Nuclear Explosions, an idea that was in fashion at the time. The theory was that we could create artificial harbours and canals using nuclear bombs. The US and the Soviets would work out that it was a bad idea by the 1970s. But it turns out at least some people in the UK were interested as well. They commissioned a full study, laying out the pros and cons, comparing the cost to other methods of storage. They had picked a site. The plan was: buy all the land for about a mile around. Drill down 2,000 feet, about 600 metres, with a special extra-wide drill bit, big enough so they could drop a 25 kiloton nuclear bomb down to the bottom of the hole. Plug up the hole, cover the top so nothing comes out, hopefully. Evacuate the thousand or so people who live nearby, just in case. Not much would happen on the surface. There'd be a bit of a jolt and a rumble, a few birds startled into the air. The local towns of Pickering and Whitby, about ten miles away each, they'd feel a minor earthquake, and maybe a couple of buildings would get small cracks in them."
9,"There's a £100,000 coin buried under this London building","In 1933, Britain didn't need any more pennies. The Royal Mint decided they wouldn't make any one-pence coins that year. Trouble is, King George V needed some. It was tradition for the King to bury a full set of new coins from that year in the foundations of new and important buildings as they were constructed. So the Royal Mint did make some 1933 coins. No-one actually kept the records of how many there were, but it was probably... seven. While the face value of those seven coins is a penny, they're so rare that the price at auction these days is easily more than £100,000. The last sold in 2016 for a hammer price of around £140,000 - it's the first time one's been sold for many, many years. So there are probably seven 1933 pennies - three are in private collections. Two are in museums. And the others...   ...well, that's the possible heist movie. Because remember, the king buried some of the coins. One of them was buried under this church in Middleton, West Yorkshire. In 1970, it was stolen. Whereabouts still unknown, although presumably if someone in Yorkshire finds a 1933 penny in their grandparents' coin collection, there'll be a bit of suspicion."
