,title,video_id,gpt3_vanilla_title
0,Reopening an airport terminal is harder than you might think,JA3RXeds0_g,Reopening the South Terminal at London's Gatwick Airport
1,14 science fiction stories in under 6 minutes,iQGl-ffVtaM,"Ideas for Short Science Fiction Videos"
2,"After 140 years, this old technology still keeps trains safe",mzAfich6mow,"The Astonishing Thing About Scotland's 140-Year-Old Rockfall Detection System"
3,"The Elie Chainwalk is safe, as long as you follow the signs",ELGWbY4xBDs,The Chain Walk: A Risky but Rewarding Experience
4,This town forgot to be a city,kBaLb1C4WAg,"Rochester City: A story of forgotten paperwork"
5,The top secret plan to explode a nuclear bomb in Yorkshire,ceWZslOfEjs,"The UK's Plan to Use Nuclear Bombs for Gas Storage"
6,The giant chainmail box that stops a house dissolving,9XSzwbFCFtc,The Hill House: A Masterpiece in Peril
7,Literally just three minutes where I talk about some rocks,EfdwRRpiYGQ,The Importance of Siccar Point
8,How one British laboratory protects the world's chocolate,LKSTmcvEdoU,The International Cocoa Quarantine Center: Preventing a Chocolate Shortage
9,"There's a £100,000 coin buried under this London building",rssBd3fX8fw,
10,"Ten years ago, I predicted 2022. Did I get it right?",NYj3DnI81AQ,
11,The meters-high mountain of mannequins in the Midlands,rhJWD2TMiYE,"The Unsettling World of Mannequins"
12,The hidden background noise that can catch criminals,e0elNU0iOMY,
13,The Thames Barrier must never fail. Here's why it doesn't.,eY-XHAoVEeU,"The Thames Barrier: Protecting London from Flooding"
14,The world's most expensive object by weight,k7fXbdRH9v4,"The Most Expensive Object in the World by Weight: The British Guiana One Cent Magenta"
15,The town where holding fireworks over your head is a tradition,xym2R6_Qd7c,
16,The tunnel where people pay to inhale radioactive gas,zZkusjDFlS0,Why I'm conflicted about radon therapy
17,This tiny railroad across the sea has an important job,NL5sRCRa7AE,Why the tiny trains of the Hallig islands matter more than you think
18,Why this &quot;falling rocks&quot; sign is more important than most,o-oVXYkBwgw,Radar-Guided Stoplights: The Simple Solution to a Complicated Problem
19,"An actual, real-world use for robot dogs",PkW9wx7Kbws,"The Future of Robot Dogs"
20,The highway where trucks work like electric trains,_3P_S7pL7Yg,"The slowly rising popularity of electric trucks"
21,The shooting range where you fire over a busy road,2h1s6S4kotE,The Swiss Way of Gun Ownership
22,The world's only float-through McDonalds,A6F96xSoLPg,The World's Only Float-Through McDonald's
23,I thought the Schmid Peoplemover was impossible,A2g4u9F9i90,The Strange Elevators of Genoa and Rottweil
24,The world's most useful model railway,6TLcaJdsRr0,"The World's Most Useful Model Railway"
25,The public toll road with no speed limit,10Y-gWNJ2Sw,"The Nürburgring: If you've already heard of it, enjoy this video"
26,Three strange river crossings,KVXVNX4Crh4,The Three Strange River Crossings of Manchester
27,Why this observatory fires lasers at satellites,vdvIY0CJaXw,How Satellites Know Where They Are
28,I took the world's shortest flight. It was underwhelming.,dzYP01CPC6E,"The World's Shortest Flight: Why It Exists"
