,title,video_id,t0_3B_vanilla_title_summarized
0,Reopening an airport terminal is harder than you might think,JA3RXeds0_g, The world's busiest airport is reopening to the public after closing to prevent the spread of the Ebola virus.
1,14 science fiction stories in under 6 minutes,iQGl-ffVtaM," The Brain Project is a collection of short stories that explore some of the ideas behind cyberpunk, sci-fi and cyber-realism."
2,"After 140 years, this old technology still keeps trains safe",mzAfich6mow," The railways of Scotland are among the most important in the world, carrying more than a billion passengers every year."
3,"The Elie Chainwalk is safe, as long as you follow the signs",ELGWbY4xBDs, The Elie Chainwalk
4,This town forgot to be a city,kBaLb1C4WAg," Rochester, Kent"
5,The top secret plan to explode a nuclear bomb in Yorkshire,ceWZslOfEjs," A report on underground nuclear bomb storage caverns in Yorkshire was written in 1969, a month before Neil Armstrong set foot on the moon."
6,The giant chainmail box that stops a house dissolving,9XSzwbFCFtc, The world's largest ever-built house has been given a £4.5m makeover.
7,Literally just three minutes where I talk about some rocks,EfdwRRpiYGQ, A geological time clock
8,How one British laboratory protects the world's chocolate,LKSTmcvEdoU, The world's first cocoa plant quarantine zone has been established in the Democratic Republic of Congo.
9,"There's a £100,000 coin buried under this London building",rssBd3fX8fw," The Royal Mint has announced that it will mint a million one-penny coins in 2014, a record for the first time in its history."
10,"Ten years ago, I predicted 2022. Did I get it right?",NYj3DnI81AQ, Tom McEvoy has been predicting the future for a decade.
11,The meters-high mountain of mannequins in the Midlands,rhJWD2TMiYE," A man who re-hires mannequins from landfill has been hailed a hero after he was able to smuggle 25,000 into the UK in just four months. The "
12,The hidden background noise that can catch criminals,e0elNU0iOMY, The National Grid has released data on the frequency of electricity transmission in the UK.
13,The Thames Barrier must never fail. Here's why it doesn't.,eY-XHAoVEeU, The Thames Barrier is designed to protect London from flooding
14,The world's most expensive object by weight,k7fXbdRH9v4, The world's most expensive stamp
15,The town where holding fireworks over your head is a tradition,xym2R6_Qd7c," Across Britain, a lot of towns and villages have all sorts of strange, old traditions for Bonfire Night. Most of those traditions involve fire, pyrotechnics, and a significant chance of personal injury to anyone"
16,The tunnel where people pay to inhale radioactive gas,zZkusjDFlS0, radon in the air
17,This tiny railroad across the sea has an important job,NL5sRCRa7AE, The railway on the Hallig islands
18,Why this &quot;falling rocks&quot; sign is more important than most,o-oVXYkBwgw, A Swiss village has installed a radar to detect rockfalls and close the road.
19,"An actual, real-world use for robot dogs",PkW9wx7Kbws, Energy Robotics is putting software on robots to make them smart. The company is using a robot to do inspection tasks in the Alps. The robot is not remote controlled. It's doing that task autonomous
20,The highway where trucks work like electric trains,_3P_S7pL7Yg, Electric trucks are slowly starting to become a thing in Germany. The full-scale scenario for Germany would be to equip 1/3 of the German highway network.
21,The shooting range where you fire over a busy road,2h1s6S4kotE," Rifle shooting is a national sport in Switzerland. Service in the military is compulsory for men, albeit with the choice to take on civil service work instead."
22,The world's only float-through McDonalds,A6F96xSoLPg, The world's only floating McDonald's has opened in Germany.
23,I thought the Schmid Peoplemover was impossible,A2g4u9F9i90, Schmid Peoplemover lifts people up to a height of a metre.
24,The world's most useful model railway,6TLcaJdsRr0, The world's most useful model railway
25,The public toll road with no speed limit,10Y-gWNJ2Sw, The Nürburgring Nordschleife
26,Three strange river crossings,KVXVNX4Crh4, The Hulmes Ferry takes walkers and cyclists across the Manchester Ship Canal.
27,Why this observatory fires lasers at satellites,vdvIY0CJaXw," If satellites are in a high enough orbit, well away from the atmosphere, they can predict their position."
28,I took the world's shortest flight. It was underwhelming.,dzYP01CPC6E, Orkney Islands
29,The Islands With Too Much Power,8UmsfXWzvEA, Orkney's renewable energy resources are so abundant that it's a problem
